,bee_type,bee_id,bee_parent,itr,candidate,fitness,center_fitness,epochs,weights_filename,time
0,EmployeeBee,0.0,-,0.0,input|sep3x3_256|sep5x5_256|dropout|dropout|output,0.6862000226974487,0.6862000226974487,5.0,8add8db6bd97c22f9b573adcb381f0eafd024be5.h5,780.2011556625366
1,EmployeeBee,1.0,-,0.0,input|max_pool3x3|batch_norm|batch_norm|sep3x3_256|output,0.6668000221252441,0.6668000221252441,5.0,12be5a30e1eb79762a681b7feb9161f47658c189.h5,675.661477804184
2,EmployeeBee,2.0,-,0.0,input|sep3x3_64|sep3x3_256|batch_norm|avg_pool3x3|output,0.7020999789237976,0.7020999789237976,5.0,60a892b16498c8040db230850757f0bb30269ad6.h5,684.0265414714813
3,OnlookerBee,0.0,2,0.0,input|sep3x3_64|sep3x3_256|dropout|avg_pool3x3|output,0.6984999775886536,0.7020999789237976,5.0,2ed04b336512d3c9fc2448de6bf61fc983c2c6e2.h5,673.9663722515106
4,OnlookerBee,1.0,1,0.0,input|max_pool3x3|batch_norm|batch_norm|sep5x5_64|output,0.6740000247955322,0.6740000247955322,5.0,deb6bffd657ba84322ac57824131bb49c9f52af0.h5,564.3005592823029
5,OnlookerBee,2.0,2,0.0,input|sep3x3_64|sep3x3_256|avg_pool3x3|avg_pool3x3|output,0.7214999794960022,0.7214999794960022,5.0,b17b80e180d16883fe64b064b382881ad0601445.h5,698.1400907039642
6,OnlookerBee,3.0,1,0.0,input|max_pool3x3|avg_pool3x3|batch_norm|sep5x5_64|output,0.6570000052452087,0.6740000247955322,5.0,02470c6b4e85e4dd672ec51ba2737f21b1f38f12.h5,526.8951163291931
7,OnlookerBee,4.0,2,0.0,input|sep3x3_64|sep3x3_256|avg_pool3x3|sep3x3_128|output,0.6283000111579895,0.7214999794960022,5.0,4a0205d7e1872f46662543fcbae0582a074a84ea.h5,681.5211210250854
8,OnlookerBee,5.0,0,0.0,input|sep3x3_256|sep3x3_128|dropout|dropout|output,0.6722000241279602,0.6862000226974487,5.0,d11122f4888f21c3da6ce3b0392be8091f64eac2.h5,665.8482947349548
9,OnlookerBee,6.0,2,0.0,input|sep3x3_64|sep5x5_128|avg_pool3x3|avg_pool3x3|output,0.6933000087738037,0.7214999794960022,5.0,8af43bb2a28cb3a396eb968cdae4bff240cc52ec.h5,610.4729878902435
10,EmployeeBee,0.0,-,1.0,input|sep3x3_256|dropout|dropout|dropout|output,0.6108999848365784,0.6862000226974487,5.0,270cb5776a52350ef1bccb8e4bb5efc40823b4af.h5,682.989738702774
11,EmployeeBee,1.0,-,1.0,input|max_pool3x3|dropout|batch_norm|sep5x5_64|output,0.6481999754905701,0.6740000247955322,5.0,2bede117c6b64e1147e778c6eb62e166fc7fd870.h5,526.8972690105438
12,EmployeeBee,2.0,-,1.0,input|batch_norm|dropout|sc_1|avg_pool3x3|dropout|output,0.579800009727478,0.579800009727478,5.0,406c6bf47ce9efd18bdff509a488adec5fadbe01.h5,560.9556517601013
13,OnlookerBee,0.0,0,1.0,input|sep3x3_256|max_pool3x3|dropout|dropout|output,0.6471999883651733,0.6862000226974487,5.0,e021ebee3498fe3c511d4ecf0a1a87c5f4a589b1.h5,693.0432498455048
14,OnlookerBee,1.0,1,1.0,input|dropout|batch_norm|batch_norm|sep5x5_64|output,0.6223000288009644,0.6740000247955322,5.0,8b41b4134dad348f09f3c57bded9396dde9d9ad8.h5,547.6907486915588
15,OnlookerBee,2.0,2,1.0,input|batch_norm|dropout|sc_1|avg_pool3x3|sep5x5_64|output,0.6040999889373779,0.6040999889373779,5.0,6119a60e5c15c3184d10df621456b64ff4d3d1d0.h5,584.2573134899139
16,OnlookerBee,3.0,0,1.0,input|sep3x3_256|sep5x5_256|dropout|sep5x5_128|output,0.664900004863739,0.6862000226974487,5.0,61fd956586c5c46f19068966d14d75e8ac3df30f.h5,837.7631158828735
17,OnlookerBee,4.0,2,1.0,input|batch_norm|dropout|sc_1|avg_pool3x3|avg_pool3x3|output,0.5978999733924866,0.6040999889373779,5.0,496db52b930465b5774e61c48ab06ed92daef8ef.h5,526.3214490413666
18,OnlookerBee,6.0,2,1.0,input|batch_norm|dropout|avg_pool3x3|sep5x5_64|output,0.6098999977111816,0.6098999977111816,5.0,ca0a77ecafcde8c7c27c1e6ab966cc61eea2b6b1.h5,566.0672521591187
19,EmployeeBee,0.0,-,2.0,input|sc_3|avg_pool3x3|dropout|sep3x3_256|dropout|output,0.5800999999046326,0.5800999999046326,5.0,dd4a41105a34b710414d8c7a53c4ab5ee5c79b2a.h5,686.658774137497
