,bee_type,bee_id,bee_parent,itr,candidate,fitness,center_fitness,epochs,weights_filename,time
36,EmployeeBee,1.0,-,7.0,input|batch_norm|sc_2|avg_pool3x3|batch_norm|output,0.4745999872684479,0.4745999872684479,5.0,5579b9a7191b3f92247814679f366a51f9df3295.h5,594.9624433517456
37,OnlookerBee,0.0,0,7.0,input|sc_2|sep1x1_64|batch_norm|sep1x1_64|output,0.5831000208854675,0.5831000208854675,5.0,31f1f92f207d1d09bfc19fa99982d425b3be32b8.h5,594.7571196556091
38,OnlookerBee,1.0,1,7.0,input|dropout|sc_2|avg_pool3x3|batch_norm|output,0.4634000062942505,0.4745999872684479,5.0,ded7f48177b28805384f50327005cb48ae4f794b.h5,555.0983273983002
39,OnlookerBee,2.0,1,7.0,input|batch_norm|sc_2|sep1x1_64|batch_norm|output,0.5006999969482422,0.5006999969482422,5.0,6361af9624b843e0ea89399f55149bdd04a43c27.h5,585.8621363639832
40,EmployeeBee,0.0,-,8.0,input|sep1x1_32|sep1x1_64|sep1x1_16|output,0.3528999984264374,0.3528999984264374,5.0,86c5cc20c2579369b2d184a40b0d7eec871603b8.h5,511.3308982849121
41,EmployeeBee,1.0,-,8.0,input|dropout|sc_2|sep1x1_64|batch_norm|output,0.487199991941452,0.5006999969482422,5.0,bfa202a6b7f6eef8fe406c83b97435a0e29771d6.h5,556.0808384418488
42,OnlookerBee,0.0,0,8.0,input|sep1x1_32|max_pool3x3|sep1x1_16|output,0.49570000171661377,0.49570000171661377,5.0,92d1838042c19d433629a1e81aa3a0465d9b6b15.h5,505.95132088661194
43,OnlookerBee,1.0,0,8.0,input|max_pool3x3|max_pool3x3|sep1x1_16|output,0.5582000017166138,0.5582000017166138,5.0,37c76f04aea00d4f3d18f8eba26d0e5e10c6ec1a.h5,543.6991999149323
44,OnlookerBee,2.0,1,8.0,input|batch_norm|sc_2|avg_pool3x3|batch_norm|output,0.4580000042915344,0.5006999969482422,5.0,5579b9a7191b3f92247814679f366a51f9df3295.h5,519.2981877326965
45,EmployeeBee,0.0,-,9.0,input|max_pool3x3|sep1x1_64|sep1x1_16|output,0.48010000586509705,0.5582000017166138,5.0,fbc2c85045513d062b4ec2e0eed649d08b83ad25.h5,591.9040513038635
46,EmployeeBee,1.0,-,9.0,input|sep3x3_32|max_pool3x3|sep1x1_16|output,0.5414000153541565,0.5414000153541565,5.0,cc7ae5ac2ed2906a57f8c848a241cfc0da588990.h5,509.1240448951721
47,OnlookerBee,0.0,0,9.0,input|max_pool3x3|sep3x3_64|sep1x1_16|output,0.5357999801635742,0.5582000017166138,5.0,bfd66cb5b9599d50faab9568c0b8cf183712dd86.h5,554.2392511367798
48,OnlookerBee,1.0,0,9.0,input|batch_norm|max_pool3x3|sep1x1_16|output,0.5336999893188477,0.5582000017166138,5.0,e9d573e213b513b56c693e2a8cff0a504c5bf806.h5,543.2095892429352
49,OnlookerBee,2.0,1,9.0,input|sep3x3_32|avg_pool3x3|sep1x1_16|output,0.48080000281333923,0.5414000153541565,5.0,a1494c7331a4f025ae1f276d550130b4e6df5fc7.h5,549.129471540451
50,EmployeeBee,0.0,-,10.0,input|batch_norm|sc_2|sep1x1_16|sep1x1_64|output,0.47609999775886536,0.47609999775886536,5.0,d7a3f538cc817b7da71627e199ed6f7195af3079.h5,588.8859095573425
