,bee_type,bee_id,bee_parent,itr,candidate,fitness,center_fitness,epochs,params,weights_filename,time
0,EmployeeBee,0.0,-,0.0,input|batch_norm|sep3x3_32|sep3x3_128|batch_norm|output,0.5928999781608582,0.5928999781608582,4.0,118502890.0,01081fd22b673c8db73df2664a13771609453ee0.h5,475.6819372177124
1,EmployeeBee,1.0,-,0.0,input|sep3x3_64|sep5x5_32|sep5x5_128|sep3x3_32|output,0.4255000054836273,0.4255000054836273,1.0,30039498.0,5558ed7f69491706bf455da4055e6c7f9a1f9a3c.h5,144.58294224739075
2,OnlookerBee,0.0,0,0.0,input|batch_norm|sep3x3_128|sep3x3_128|batch_norm|output,0.6915000081062317,0.6915000081062317,5.0,118519210.0,ef3bc49db74462792b8a49eaf1bcbb0efc054628.h5,536.0092685222626
3,OnlookerBee,1.0,1,0.0,input|sep3x3_128|sep5x5_32|sep5x5_128|sep3x3_32|output,0.46630001068115234,0.46630001068115234,1.0,30045258.0,914617adbe85ffeaa39e5d436cf4064d03d65414.h5,105.22531700134277
4,OnlookerBee,2.0,1,0.0,input|sep3x3_128|sep5x5_32|sep5x5_32|sep3x3_32|output,0.42820000648498535,0.46630001068115234,1.0,30038154.0,7865c951d57c000f3ab964ce8735457ac46fc107.h5,106.09102368354797
