,bee_type,bee_id,bee_parent,itr,candidate,fitness,center_fitness,epochs,weights_filename,time
48,OnlookerBee,2.0,1,9.0,input|dropout|avg_pool3x3|dropout|avg_pool3x3|output,0.5394999980926514,0.5964999794960022,5.0,fa40adc7b5dc9e956143f02808ade402b6071360.h5,497.72095942497253
49,EmployeeBee,0.0,-,10.0,input|max_pool3x3|sep3x3_8|max_pool3x3|batch_norm|output,0.6363000273704529,0.6363000273704529,5.0,1902e2f11016dc1d6c8400148cda0f9061532a69.h5,532.8096604347229
50,EmployeeBee,1.0,-,10.0,input|max_pool3x3|sep5x5_16|sep5x5_32|sep3x3_16|output,0.6014999747276306,0.6014999747276306,5.0,6dfd1a0784232c2be43908460d5378b48cefc8b4.h5,589.425767660141
51,OnlookerBee,0.0,1,10.0,input|max_pool3x3|sep3x3_32|sep5x5_32|sep3x3_16|output,0.6137999892234802,0.6137999892234802,5.0,5fbba380791530f3002fe13c5a78619e122562a1.h5,636.6836321353912
52,OnlookerBee,1.0,0,10.0,input|max_pool3x3|sep3x3_16|max_pool3x3|batch_norm|output,0.6287000179290771,0.6363000273704529,5.0,619487b4a1a21573e6beeb7628ef221384c29296.h5,557.553524017334
53,OnlookerBee,2.0,0,10.0,input|max_pool3x3|sep3x3_8|batch_norm|batch_norm|output,0.6438999772071838,0.6438999772071838,5.0,c325ad43d5353131b9fe85028421d5236e1613ef.h5,488.10269117355347
54,EmployeeBee,0.0,-,11.0,input|sc_4|max_pool3x3|sc_1|dropout|sc_1|sep5x5_16|sep3x3_8|output,0.6001999974250793,0.6001999974250793,5.0,afc8e52ca9d5beac44c814b9ccf5d65f4e968231.h5,531.6831505298615
55,EmployeeBee,1.0,-,11.0,input|max_pool3x3|sep3x3_32|sep5x5_32|sep3x3_8|output,0.6085000038146973,0.6137999892234802,5.0,a6c03dcfa5a0cc8d3e3dba64ab59ed9b59744c8e.h5,650.1013057231903
56,OnlookerBee,0.0,0,11.0,input|sc_4|max_pool3x3|sc_1|dropout|sep5x5_16|sep3x3_8|output,0.616599977016449,0.616599977016449,5.0,292651e6770cd1611291d6adc464aa7fad51a2bd.h5,532.2066504955292
57,OnlookerBee,1.0,0,11.0,input|sc_4|max_pool3x3|sc_1|dropout|sep3x3_8|sep3x3_8|output,0.5949000120162964,0.616599977016449,5.0,22e44498478f68eb3e65d46a1a6531e748fdbf93.h5,539.2730627059937
