,bee_type,bee_id,bee_parent,itr,candidate,fitness,center_fitness,epochs,params,weights_filename,time
55,OnlookerBee,3.0,2,7.0,input|max_pool3x3|avg_pool3x3|sep5x5_32|max_pool3x3|sep5x5_128|output,0.683899998664856,0.683899998664856,5.0,118503594.0,ee979b7708dae1a3921763745b231fa34a7ea06f.h5,407.1322741508484
56,EmployeeBee,0.0,-,8.0,input|avg_pool3x3|sep3x3_64|avg_pool3x3|sep5x5_32|dropout|output,0.6340000033378601,0.6340000033378601,4.0,30029194.0,c6e16694f2accc76ea002613b5a3eed3b3a9f048.h5,304.95863366127014
57,EmployeeBee,1.0,-,8.0,input|sep5x5_64|avg_pool3x3|sep5x5_32|sep3x3_64|batch_norm|output,0.1014999970793724,0.6355999708175659,1.0,59523434.0,65a4939aa7ab3dd48fcb6d14d6b65c00e3832d9f.h5,81.52954196929932
58,EmployeeBee,2.0,-,8.0,input|sep3x3_64|sep5x5_128|sep3x3_32|sep3x3_128|batch_norm|output,0.3605000078678131,0.3605000078678131,1.0,118519082.0,bbcdc8b57faf9a1b41855bba4cdf19e3d2264b97.h5,86.83595657348633
59,OnlookerBee,0.0,1,8.0,input|sep5x5_64|avg_pool3x3|sep5x5_32|sep3x3_128|dropout|output,0.6762999892234802,0.6762999892234802,5.0,118507818.0,90ff1ee871b98fb668afd9214eb960a22b23ca2c.h5,476.37941551208496
60,OnlookerBee,1.0,1,8.0,input|sep5x5_64|avg_pool3x3|sep5x5_32|dropout|dropout|output,0.6234999895095825,0.6762999892234802,4.0,30029706.0,ada99cbf01a83156c7b9516e5f034bb4bf00a3a5.h5,307.6713011264801
61,OnlookerBee,2.0,0,8.0,input|avg_pool3x3|avg_pool3x3|avg_pool3x3|sep5x5_32|dropout|output,0.6018999814987183,0.6340000033378601,4.0,30024970.0,2ab68eeeebef29c74487964e991d6ce5a5fa046c.h5,292.7514169216156
62,OnlookerBee,3.0,0,8.0,input|avg_pool3x3|sep3x3_64|avg_pool3x3|sep5x5_32|batch_norm|output,0.3756999969482422,0.6340000033378601,1.0,30029258.0,d4199b128aa7d6fd871139a40083b86b4859b5e7.h5,75.87102508544922
63,EmployeeBee,0.0,-,9.0,input|sep5x5_128|dropout|sep3x3_128|sep5x5_128|avg_pool3x3|output,0.63919997215271,0.63919997215271,4.0,118539114.0,c40b3f4055fbee748633cc5bfd15524d385cd116.h5,341.56581926345825
64,EmployeeBee,1.0,-,9.0,input|dropout|sep3x3_64|sep5x5_64|batch_norm|sep5x5_32|output,0.11050000041723251,0.11050000041723251,1.0,30035082.0,7c361b364f4fd5723fc1578fe2ef5e259869c648.h5,77.01852989196777
65,EmployeeBee,2.0,-,9.0,input|avg_pool3x3|sep5x5_128|sep3x3_32|sep3x3_128|batch_norm|output,0.25,0.3605000078678131,1.0,118511786.0,79f6a572e43f6a63b56d47f13c0ba4f8c1a6627b.h5,84.8189685344696
66,OnlookerBee,0.0,0,9.0,input|sep5x5_128|dropout|dropout|sep5x5_128|avg_pool3x3|output,0.6819999814033508,0.6819999814033508,5.0,118521450.0,4f34d586715351f069a482703e8864815e46c50e.h5,419.411625623703
67,OnlookerBee,1.0,1,9.0,input|max_pool3x3|sep3x3_64|sep5x5_64|batch_norm|sep5x5_32|output,0.1526000052690506,0.1526000052690506,1.0,30035082.0,e767e31ec7f2856d6e4c23eb3e7db458a922929a.h5,77.58517527580261
