,arch,epoch,val_acc,val_loss,train_acc,train_loss,eval_idx,type,bee_id,itr
34,input|sc_4|dropout|sc_2|sep5x5_128|max_pool3x3|sc_1|sep3x3_128|output,5,0.6324,1.4705,0.7999,0.6129,6,OnlookerBee,3,1
35,input|max_pool3x3|max_pool3x3|sep3x3_64|sc_1|sep5x5_128|output,1,0.5786,1.195,0.4659,2.3599,7,EmployeeBee,0,2
36,input|max_pool3x3|max_pool3x3|sep3x3_64|sc_1|sep5x5_128|output,2,0.6724,0.9436,0.6616,0.9778,7,EmployeeBee,0,2
37,input|max_pool3x3|max_pool3x3|sep3x3_64|sc_1|sep5x5_128|output,3,0.7099,0.8734,0.7592,0.7011,7,EmployeeBee,0,2
38,input|max_pool3x3|max_pool3x3|sep3x3_64|sc_1|sep5x5_128|output,4,0.6814,0.9697,0.8442,0.4546,7,EmployeeBee,0,2
39,input|max_pool3x3|max_pool3x3|sep3x3_64|sc_1|sep5x5_128|output,5,0.701,1.1031,0.9032,0.2913,7,EmployeeBee,0,2
40,input|avg_pool3x3|avg_pool3x3|sep5x5_64|sc_1|sep3x3_64|output,1,0.5075,1.3591,0.4723,1.5489,8,EmployeeBee,1,2
41,input|avg_pool3x3|avg_pool3x3|sep5x5_64|sc_1|sep3x3_64|output,2,0.6439,1.0317,0.6396,1.0262,8,EmployeeBee,1,2
42,input|avg_pool3x3|avg_pool3x3|sep5x5_64|sc_1|sep3x3_64|output,3,0.6601,0.977,0.7424,0.7508,8,EmployeeBee,1,2
43,input|avg_pool3x3|avg_pool3x3|sep5x5_64|sc_1|sep3x3_64|output,4,0.6442,1.1024,0.8279,0.5048,8,EmployeeBee,1,2
44,input|avg_pool3x3|avg_pool3x3|sep5x5_64|sc_1|sep3x3_64|output,5,0.683,1.2486,0.8878,0.3293,8,EmployeeBee,1,2
45,input|avg_pool3x3|avg_pool3x3|sep3x3_128|sc_1|sep5x5_128|output,1,0.6138,1.0996,0.4925,1.5786,9,OnlookerBee,0,2
46,input|avg_pool3x3|avg_pool3x3|sep3x3_128|sc_1|sep5x5_128|output,2,0.6863,0.9216,0.675,0.9361,9,OnlookerBee,0,2
47,input|avg_pool3x3|avg_pool3x3|sep3x3_128|sc_1|sep5x5_128|output,3,0.6867,0.9704,0.7895,0.6116,9,OnlookerBee,0,2
48,input|avg_pool3x3|avg_pool3x3|sep3x3_128|sc_1|sep5x5_128|output,4,0.7002,1.1774,0.8798,0.3552,9,OnlookerBee,0,2
49,input|avg_pool3x3|avg_pool3x3|sep3x3_128|sc_1|sep5x5_128|output,5,0.665,1.2112,0.9218,0.2358,9,OnlookerBee,0,2
50,input|dropout|avg_pool3x3|sep5x5_64|sc_1|sep5x5_128|output,1,0.5132,1.4903,0.4549,1.8424,10,OnlookerBee,1,2
51,input|dropout|avg_pool3x3|sep5x5_64|sc_1|sep5x5_128|output,2,0.6521,1.0575,0.6216,1.0883,10,OnlookerBee,1,2
52,input|dropout|avg_pool3x3|sep5x5_64|sc_1|sep5x5_128|output,3,0.6341,1.1682,0.7056,0.848,10,OnlookerBee,1,2
53,input|dropout|avg_pool3x3|sep5x5_64|sc_1|sep5x5_128|output,4,0.6318,1.3362,0.7805,0.6463,10,OnlookerBee,1,2
54,input|dropout|avg_pool3x3|sep5x5_64|sc_1|sep5x5_128|output,5,0.6492,1.2222,0.832,0.4971,10,OnlookerBee,1,2
55,input|avg_pool3x3|avg_pool3x3|dropout|sc_1|sep5x5_128|output,1,0.4214,1.6157,0.3648,4.0956,11,OnlookerBee,2,2
56,input|avg_pool3x3|avg_pool3x3|dropout|sc_1|sep5x5_128|output,2,0.5683,1.2276,0.5154,1.3927,11,OnlookerBee,2,2
57,input|avg_pool3x3|avg_pool3x3|dropout|sc_1|sep5x5_128|output,3,0.5987,1.1752,0.5883,1.1952,11,OnlookerBee,2,2
58,input|avg_pool3x3|avg_pool3x3|dropout|sc_1|sep5x5_128|output,4,0.6211,1.0619,0.627,1.095,11,OnlookerBee,2,2
