,bee_typebee_id,bee_parent,itr,candidate,fitness,center_fitness,epochs,params,weights_filename,time,bee_id,bee_type
63,,-,9,input|sc_2|sep5x5_32|dropout|sc_2|sep3x3_128|sep5x5_32|sep3x3_64|output,0.5325999855995178,0.5325999855995178,3,59532522,45df11bdf32ff4fefd59c5e67f1c6c8ca8c243d0.h5,243.11587047576904,0.0,EmployeeBee
64,,-,9,input|max_pool3x3|dropout|dropout|dropout|sep3x3_32|output,0.36010000109672546,0.47429999709129333,1,30024458,1972e19f2202623ed7d482c3d67c02246d3d1222.h5,74.99238300323486,1.0,EmployeeBee
65,,-,9,input|sep3x3_128|max_pool3x3|avg_pool3x3|avg_pool3x3|dropout|output,0.5343000292778015,0.5349000096321106,3,118501226,b93aa01639ebb2ac9d30723bb7eca54d8291b717.h5,250.82003688812256,2.0,EmployeeBee
66,,1,9,input|sep3x3_64|dropout|dropout|dropout|batch_norm|output,0.3813999891281128,0.47429999709129333,1,59516842,ca3e2e62453672fd69fc0b73fdf8bb2db62d3438.h5,78.53188753128052,0.0,OnlookerBee
67,,1,9,input|sep3x3_64|dropout|max_pool3x3|dropout|sep3x3_32|output,0.5521000027656555,0.5521000027656555,3,30028170,900b9a71e81c3b10eaf71e41fe4294aa9d3cd797.h5,226.66008186340332,1.0,OnlookerBee
68,,1,9,input|sep5x5_32|dropout|max_pool3x3|dropout|sep3x3_32|output,0.4648999869823456,0.5521000027656555,2,30026314,1a4449551c87045feefc0a6c6dce060bea24bb14.h5,150.5570526123047,2.0,OnlookerBee
69,,2,9,input|sep3x3_128|sep5x5_128|sep3x3_32|avg_pool3x3|dropout|output,0.10000000149011612,0.5349000096321106,1,30052618,c6319abb7c079b40d528ee6b610b11a16211af89.h5,81.12402653694153,3.0,OnlookerBee
70,,-,10,input|avg_pool3x3|dropout|batch_norm|dropout|sep3x3_64|output,0.44940000772476196,0.44940000772476196,2,59516778,581bb5e5fbc73aafb66447fe0e59d0f2244f8931.h5,152.74510860443115,0.0,EmployeeBee
71,,-,10,input|sep5x5_32|dropout|batch_norm|sep3x3_64|sep3x3_64|output,0.3531999886035919,0.3531999886035919,1,59523370,7774e382cb4d35d196f18d950c53d0efcab32ae0.h5,80.14163303375244,1.0,EmployeeBee
72,,-,10,input|sep3x3_128|batch_norm|sep3x3_128|sep3x3_128|sc_1|sep5x5_64|output,0.2587999999523163,0.2587999999523163,1,59574122,95dcba043e7bd9db409e4af58cb59c6f8dc4b574.h5,86.97995114326477,2.0,EmployeeBee
73,,0,10,input|avg_pool3x3|sep3x3_128|batch_norm|dropout|sep3x3_64|output,0.21369999647140503,0.44940000772476196,1,59528490,7685d046922a4c1ac72419f46ee509b798063cf5.h5,80.46507692337036,0.0,OnlookerBee
74,,1,10,input|sep5x5_32|dropout|batch_norm|sep3x3_64|sep3x3_128|output,0.3212999999523163,0.3531999886035919,1,118509930,0110e1d4280dff81393bd2f6884374acfc9aa6f5.h5,84.38872480392456,1.0,OnlookerBee
75,,2,10,input|sep3x3_128|batch_norm|sep3x3_128|sep3x3_128|sep5x5_64|output,0.10000000149011612,0.2587999999523163,1,59565866,3dd898fb836dde5abfad2823b0f90224a386d915.h5,85.98003125190735,2.0,OnlookerBee
76,,0,10,input|avg_pool3x3|sep5x5_32|batch_norm|dropout|sep3x3_64|output,0.39160001277923584,0.44940000772476196,1,59518634,e955e0bbd65cde06de63bb39e424988632484f7a.h5,79.8238172531128,3.0,OnlookerBee
77,,-,11,input|avg_pool3x3|dropout|batch_norm|max_pool3x3|sep3x3_64|output,0.36500000953674316,0.44940000772476196,1,59516778,8e46ee7901eea724da43d9d30fd1f5010c45e82d.h5,78.522616147995,0.0,EmployeeBee
78,,-,11,input|sep5x5_32|dropout|sep3x3_64|sep3x3_64|sep3x3_64|output,0.10000000149011612,0.3531999886035919,1,59528042,c3cbfc131255ffe169f1ff2ef06febbfc418e1f0.h5,81.14800810813904,1.0,EmployeeBee
79,,-,11,input|sep3x3_128|batch_norm|sep3x3_128|sep3x3_128|sc_1|sep3x3_64|output,0.12129999697208405,0.2587999999523163,1,59572074,6448e8d431337cac70da2e57bfa55a731587e9aa.h5,85.83265948295593,2.0,EmployeeBee
80,,0,11,input|avg_pool3x3|dropout|batch_norm|avg_pool3x3|sep3x3_64|output,0.5052000284194946,0.5052000284194946,3,59516778,342dd5b71025a0724b88ab31b82b7479b9801ee4.h5,230.26555275917053,0.0,OnlookerBee
81,,0,11,input|avg_pool3x3|dropout|sep3x3_64|avg_pool3x3|sep3x3_64|output,0.4821999967098236,0.5052000284194946,2,59521450,c0e10e45c3bad4274a8003b8ed732b7501bc89ea.h5,157.01544761657715,1.0,OnlookerBee
82,,2,11,input|sep3x3_128|batch_norm|dropout|sep3x3_128|sc_1|sep5x5_64|output,0.16099999845027924,0.2587999999523163,1,59556458,8cff717a8b5c0fdc7ef66f4471d18cf5a7148413.h5,85.25191330909729,2.0,OnlookerBee
83,,0,11,input|sep5x5_128|dropout|batch_norm|avg_pool3x3|sep3x3_64|output,0.24950000643730164,0.5052000284194946,1,59529002,c643c0fe072029756e723dceab96633fe4ca538f.h5,81.94862818717957,3.0,OnlookerBee
