,bee_type,bee_id,bee_parent,itr,candidate,fitness,center_fitness,epochs,weights_filename,time
0,EmployeeBee,0.0,-,0.0,input|avg_pool3x3|sep5x5_16|sep3x3_64|avg_pool3x3|output,0.60000000149011612,0.10000000149011612,5.0,cbacbf3858ee7b103dbb58722cc3385fa6bcecab.h5,669.4243495464325
1,EmployeeBee,1.0,-,0.0,input|sc_2|sep5x5_64|sep5x5_64|sep5x5_64|sep5x5_64|output,0.5297999978065491,0.5297999978065491,5.0,63195744131528dc93028a0b7121ec1eac56ebb8.h5,631.7907536029816
2,OnlookerBee,0.0,1,0.0,input|sc_1|sep5x5_64|sep5x5_64|sep5x5_64|sep5x5_64|output,0.10000000149011612,0.5297999978065491,5.0,638f1b05dc6efc79a2d8807e5418c28f798b9145.h5,628.5965509414673
3,OnlookerBee,1.0,0,0.0,input|avg_pool3x3|sep5x5_16|avg_pool3x3|avg_pool3x3|output,0.5504000186920166,0.5504000186920166,5.0,329c26930fd90829a1060ed851a052eff2e5df25.h5,495.8247449398041
4,OnlookerBee,2.0,1,0.0,input|sc_2|sep5x5_64|sep3x3_32|sep5x5_64|sep5x5_64|output,0.5723999738693237,0.5723999738693237,5.0,0fdfb09d291a97b965031a054ec26bf3699c30c8.h5,602.3443260192871
5,EmployeeBee,0.0,-,1.0,input|avg_pool3x3|sep5x5_16|sep5x5_16|avg_pool3x3|output,0.515500009059906,0.5504000186920166,5.0,fb8959f1e0be024e438c34244404a88b26460fc5.h5,495.0039699077606
6,EmployeeBee,1.0,-,1.0,input|sc_2|sep5x5_64|sep3x3_32|sep5x5_64|sep3x3_64|output,0.5741999745368958,0.5741999745368958,5.0,2faeaba0cb157e543b96a7fee70a80aa795f909a.h5,610.4631571769714
7,OnlookerBee,0.0,1,1.0,input|sc_2|sep5x5_64|sep3x3_16|sep5x5_64|sep3x3_64|output,0.5486000180244446,0.5741999745368958,5.0,059df1bc1f724537fa216b5fd94efe91a3bfb3a0.h5,624.4524712562561
8,OnlookerBee,1.0,0,1.0,input|avg_pool3x3|sep5x5_16|dropout|avg_pool3x3|output,0.5472000241279602,0.5504000186920166,5.0,26748161d5b341a2df1322a44b1fcb642fc70a24.h5,536.1937129497528
9,OnlookerBee,2.0,1,1.0,input|sc_2|sep5x5_64|sep5x5_64|sep5x5_64|sep3x3_64|output,0.5692999958992004,0.5741999745368958,5.0,ea91794ce7c6ba60177b9a4f5ef41d9d2c03d9e7.h5,607.3119540214539
10,EmployeeBee,0.0,-,2.0,input|sep5x5_32|sep5x5_16|avg_pool3x3|avg_pool3x3|output,0.5507000088691711,0.5507000088691711,5.0,afd567fd3e95b9dfd287500479adefe6138b237c.h5,541.8224408626556
11,EmployeeBee,1.0,-,2.0,input|avg_pool3x3|sc_2|sep5x5_32|sc_2|avg_pool3x3|batch_norm|output,0.4555000066757202,0.4555000066757202,5.0,0e438038bd4706d1ae2190ec392c3e27c08c41ff.h5,510.8527503013611
12,OnlookerBee,0.0,1,2.0,input|avg_pool3x3|sc_2|sep5x5_32|avg_pool3x3|batch_norm|output,0.44040000438690186,0.4555000066757202,5.0,e97b835f106cb957d3bb963417932fdd7ad67756.h5,511.5321669578552
13,OnlookerBee,1.0,0,2.0,input|sep5x5_32|sep3x3_16|avg_pool3x3|avg_pool3x3|output,0.5213000178337097,0.5507000088691711,5.0,408bd658658cfb306fd2182bd0528b462717ded1.h5,537.6815340518951
14,OnlookerBee,2.0,1,2.0,input|avg_pool3x3|sc_2|sep5x5_32|sc_2|sep3x3_32|batch_norm|output,0.4426000118255615,0.4555000066757202,5.0,19788de145fe563ce202a3927d7716ace74d71b6.h5,556.011075258255
